Module#,RF Direction Tx 0/Rx 1,Polarization V 0/H 1,PS deg,Atten dB
0,1,1,0,0
1,1,1,5.625,0.5
2,1,1,0,31
3,1,1,78.75,3.5
4,1,1,22.5,12.5
5,1,1,0,1
6,1,1,0,5
7,1,1,5.625,7
1000,1,1,0,2
1000,1,1,5.625,
1000,1,1,0,0
1000,1,1,78.75,0.5
1000,1,1,22.5,31
1000,1,1,0,3.5
1000,1,1,0,12.5
1000,1,1,5.625,1
1000,1,1,0,5
1000,1,1,5.625,7
1000,1,1,0,2
1000,1,1,78.75,
1000,1,1,22.5,0
1000,1,1,0,0.5
1000,1,1,0,31
1000,1,1,0,3.5
1000,1,1,5.625,12.5
1000,1,1,0,1
1000,1,1,78.75,5
1000,1,1,22.5,7
1000,1,1,0,2
1000,1,1,0,
1000,1,1,5.625,0
1000,1,1,0,0.5
1000,1,1,5.625,31
1000,1,1,0,3.5
1000,1,1,78.75,12.5
1000,1,1,22.5,1
1000,1,1,0,5
1000,1,1,0,7
1000,1,1,5.625,2
1000,1,1,0,
1000,1,1,5.625,0
1000,1,1,0,0.5
1000,1,1,78.75,31
1000,1,1,0,3.5
1000,1,1,5.625,12.5
1000,1,1,0,1
1000,1,1,78.75,5
1000,1,1,22.5,7
1000,1,1,0,2
1000,1,1,0,
1000,1,1,5.625,0
1000,1,1,0,0.5
1000,1,1,5.625,31
1000,1,1,0,3.5
1000,1,1,78.75,12.5
1000,1,1,22.5,1
1000,1,1,0,5
1000,1,1,0,7
1000,1,1,5.625,2
1000,1,1,0,
1000,1,1,5.625,0
1000,1,1,0,0.5
1000,1,1,78.75,31
1000,1,1,22.5,3.5
